# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  13)               |  SyS_accept() {
  13)               |    sockfd_lookup_light() {
  13)               |      __fdget() {
  13)   0.071 us    |        __fget_light();
  13)   0.313 us    |      }
  13)   0.597 us    |    }
  13)               |    sock_alloc() {
  13)               |      new_inode_pseudo() {
  13)               |        alloc_inode() {
  13)               |          sock_alloc_inode() {
  13)               |            kmem_cache_alloc() {
  13)   0.032 us    |              _cond_resched();
  13)   0.342 us    |            }
  13)               |            kmem_cache_alloc_trace() {
  13)   0.027 us    |              _cond_resched();
  13)   0.317 us    |            }
  13)   0.031 us    |            __init_waitqueue_head();
  13)   1.401 us    |          }
  13)               |          inode_init_always() {
  13)               |            make_kuid() {
  13)   0.043 us    |              map_id_down();
  13)   0.285 us    |            }
  13)               |            make_kgid() {
  13)   0.028 us    |              map_id_down();
  13)   0.299 us    |            }
  13)               |            security_inode_alloc() {
  13)   0.028 us    |              cap_inode_alloc_security();
  13)   0.343 us    |            }
  13)   0.029 us    |            __mutex_init();
  13)   2.345 us    |          }
  13)   4.384 us    |        }
  13)   0.028 us    |        _raw_spin_lock();
  13)   0.030 us    |        _raw_spin_unlock();
  13)   5.210 us    |      }
  13)   0.042 us    |      get_next_ino();
  13)   5.762 us    |    }
  13)   0.036 us    |    __module_get();
  13)               |    get_unused_fd_flags() {
  13)               |      __alloc_fd() {
  13)   0.050 us    |        _raw_spin_lock();
  13)   0.034 us    |        _raw_spin_unlock();
  13)   0.625 us    |      }
  13)   0.892 us    |    }
  13)               |    sock_alloc_file() {
  13)               |      d_alloc_pseudo() {
  13)               |        __d_alloc() {
  13)               |          kmem_cache_alloc() {
  13)   0.029 us    |            _cond_resched();
  13)   0.305 us    |          }
  13)   0.062 us    |          d_set_d_op();
  13)   1.039 us    |        }
  13)   1.302 us    |      }
  13)   0.035 us    |      mntget();
  13)               |      d_instantiate() {
  13)   0.038 us    |        _raw_spin_lock();
  13)               |        __d_instantiate() {
  13)   0.059 us    |          d_flags_for_inode();
  13)   0.033 us    |          _raw_spin_lock();
  13)   0.030 us    |          _raw_spin_unlock();
  13)   0.027 us    |          _raw_spin_lock();
  13)   0.031 us    |          _raw_spin_unlock();
  13)   1.407 us    |        }
  13)   0.028 us    |        _raw_spin_unlock();
  13)               |        security_d_instantiate() {
  13)   0.027 us    |          cap_d_instantiate();
  13)   0.359 us    |        }
  13)   2.932 us    |      }
  13)               |      alloc_file() {
  13)               |        get_empty_filp() {
  13)               |          kmem_cache_alloc() {
  13)   0.026 us    |            _cond_resched();
  13)   0.372 us    |          }
  13)               |          security_file_alloc() {
  13)               |            apparmor_file_alloc_security() {
  13)               |              kmem_cache_alloc_trace() {
  13)   0.030 us    |                _cond_resched();
  13)   0.323 us    |              }
  13)   0.705 us    |            }
  13)   0.982 us    |          }
  13)   0.030 us    |          __mutex_init();
  13)   2.165 us    |        }
  13)   2.480 us    |      }
  13)   7.797 us    |    }
  13)               |    security_socket_accept() {
  13)               |      apparmor_socket_accept() {
  13)               |        aa_sock_accept_perm() {
  13)               |          aa_sk_perm.isra.4() {
  13)   0.030 us    |            aa_label_sk_perm.isra.2();
  13)   0.297 us    |          }
  13)   0.557 us    |        }
  13)   0.824 us    |      }
  13)   1.104 us    |    }
  13)               |    inet_accept() {
  13)               |      inet_csk_accept() {
  13)               |        lock_sock_nested() {
  13)   0.032 us    |          _cond_resched();
  13)   0.032 us    |          _raw_spin_lock_bh();
  13)   0.028 us    |          _raw_spin_unlock();
  13)   0.029 us    |          __local_bh_enable_ip();
  13)   1.094 us    |        }
  13)               |        prepare_to_wait_exclusive() {
  13)   0.045 us    |          _raw_spin_lock_irqsave();
  13)   0.038 us    |          _raw_spin_unlock_irqrestore();
  13)   0.570 us    |        }
  13)               |        release_sock() {
  13)   0.029 us    |          _raw_spin_lock_bh();
  13)   0.036 us    |          tcp_release_cb();
  13)               |          _raw_spin_unlock_bh() {
  13)   0.032 us    |            __local_bh_enable_ip();
  13)   0.282 us    |          }
  13)   1.086 us    |        }
  13)               |        schedule_timeout() {
  13)               |          schedule() {
  13)               |            __schedule() {
  13)   0.028 us    |              rcu_note_context_switch();
  13)   0.126 us    |              _raw_spin_lock_irq();
  13)               |              deactivate_task() {
  13)               |                dequeue_task() {
  13)   0.037 us    |                  update_rq_clock.part.82();
  13)               |                  dequeue_task_fair() {
  13)               |                    dequeue_entity() {
  13)               |                      update_curr() {
  13)   0.028 us    |                        update_min_vruntime();
  13)   0.073 us    |                        cpuacct_charge();
  13)   0.599 us    |                      }
  13)   0.102 us    |                      update_cfs_rq_blocked_load();
  13)   0.044 us    |                      clear_buddies();
  13)   0.062 us    |                      account_entity_dequeue();
  13)   0.028 us    |                      update_min_vruntime();
  13)               |                      update_cfs_shares() {
  13)               |                        update_curr() {
  13)   0.069 us    |                          __calc_delta();
  13)   0.057 us    |                          update_min_vruntime();
  13)   0.635 us    |                        }
  13)   0.041 us    |                        account_entity_dequeue();
  13)   0.040 us    |                        account_entity_enqueue();
  13)   1.480 us    |                      }
  13)   3.892 us    |                    }
  13)               |                    dequeue_entity() {
  13)   0.041 us    |                      update_curr();
  13)   0.051 us    |                      update_cfs_rq_blocked_load();
  13)   0.028 us    |                      clear_buddies();
  13)   0.030 us    |                      account_entity_dequeue();
  13)   0.034 us    |                      update_min_vruntime();
  13)               |                      update_cfs_shares() {
  13)               |                        update_curr() {
  13)   0.056 us    |                          __calc_delta();
  13)   0.057 us    |                          update_min_vruntime();
  13)   0.592 us    |                        }
  13)   0.034 us    |                        account_entity_dequeue();
  13)   0.042 us    |                        account_entity_enqueue();
  13)   1.465 us    |                      }
  13)   3.092 us    |                    }
  13)               |                    dequeue_entity() {
  13)   0.043 us    |                      update_curr();
  13)   0.036 us    |                      update_cfs_rq_blocked_load();
  13)   0.031 us    |                      clear_buddies();
  13)   0.033 us    |                      account_entity_dequeue();
  13)   0.027 us    |                      update_min_vruntime();
  13)               |                      update_cfs_shares() {
  13)               |                        update_curr() {
  13)   0.061 us    |                          __calc_delta();
  13)   0.055 us    |                          update_min_vruntime();
  13)   0.713 us    |                        }
  13)   0.054 us    |                        account_entity_dequeue();
  13)   0.048 us    |                        account_entity_enqueue();
  13)   1.693 us    |                      }
  13)   3.254 us    |                    }
  13)               |                    dequeue_entity() {
  13)   0.043 us    |                      update_curr();
  13)   0.129 us    |                      update_cfs_rq_blocked_load();
  13)   0.031 us    |                      clear_buddies();
  13)   0.044 us    |                      account_entity_dequeue();
  13)   0.026 us    |                      update_min_vruntime();
