# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  10)   0.136 us    |  mutex_unlock();
  10)   0.044 us    |  __fsnotify_parent();
  10)               |  fsnotify() {
  10)   0.087 us    |    __srcu_read_lock();
  10)   0.047 us    |    __srcu_read_unlock();
  10)   0.850 us    |  }
  10)   0.065 us    |  __sb_end_write();
  10)               |  SyS_dup2() {
  10)   0.042 us    |    _raw_spin_lock();
  10)               |    do_dup2() {
  10)   0.035 us    |      _raw_spin_unlock();
  10)               |      filp_close() {
  10)   0.034 us    |        dnotify_flush();
  10)   0.032 us    |        locks_remove_posix();
  10)               |        fput() {
  10)               |          task_work_add() {
  10)   0.028 us    |            kick_process();
  10)   0.352 us    |          }
  10)   0.648 us    |        }
  10)   1.442 us    |      }
  10)   2.154 us    |    }
  10)   2.733 us    |  }
  10)               |  do_notify_resume() {
  10)               |    task_work_run() {
  10)               |      ____fput() {
  10)               |        __fput() {
  10)   0.029 us    |          _cond_resched();
  10)   0.033 us    |          __fsnotify_parent();
  10)   0.049 us    |          fsnotify();
  10)   0.059 us    |          locks_remove_file();
  10)   0.032 us    |          ima_file_free();
  10)               |          mutex_lock() {
  10)   0.028 us    |            _cond_resched();
  10)   0.281 us    |          }
  10)   0.029 us    |          mutex_unlock();
  10)               |          security_file_free() {
  10)               |            apparmor_file_free_security() {
  10)               |              kzfree() {
  10)   0.039 us    |                ksize();
  10)   0.056 us    |                kfree();
  10)   0.611 us    |              }
  10)   0.861 us    |            }
  10)   1.103 us    |          }
  10)   0.033 us    |          module_put();
  10)   0.030 us    |          put_pid();
  10)   0.027 us    |          __mnt_drop_write();
  10)               |          call_rcu_sched() {
  10)               |            __call_rcu() {
  10)   0.107 us    |              __call_rcu_nocb_enqueue();
  10)   0.420 us    |            }
  10)   0.671 us    |          }
  10)   0.036 us    |          dput();
  10)               |          mntput() {
  10)   0.027 us    |            mntput_no_expire();
  10)   0.272 us    |          }
  10)   6.126 us    |        }
  10)   6.374 us    |      }
  10)   0.032 us    |      _cond_resched();
  10)   6.979 us    |    }
  10)   7.270 us    |  }
  10)               |  SyS_fcntl() {
  10)               |    __fdget_raw() {
  10)   0.031 us    |      __fget_light();
  10)   0.276 us    |    }
  10)               |    security_file_fcntl() {
  10)   0.033 us    |      cap_file_fcntl();
  10)   0.312 us    |    }
  10)   0.033 us    |    get_close_on_exec();
  10)   1.358 us    |  }
  10)               |  SyS_close() {
  10)               |    __close_fd() {
  10)   0.035 us    |      _raw_spin_lock();
  10)   0.031 us    |      _raw_spin_unlock();
  10)               |      filp_close() {
  10)   0.027 us    |        dnotify_flush();
  10)   0.031 us    |        locks_remove_posix();
  10)   0.044 us    |        fput();
  10)   0.880 us    |      }
  10)   2.414 us    |    }
  10)   2.708 us    |  }
  10)               |  __do_page_fault() {
  10)   0.050 us    |    down_read_trylock();
  10)   0.034 us    |    _cond_resched();
  10)               |    find_vma() {
  10)   0.211 us    |      vmacache_find();
  10)   0.556 us    |    }
  10)               |    handle_mm_fault() {
  10)   0.205 us    |      __mem_cgroup_count_vm_event();
  10)               |      handle_pte_fault() {
  10)   0.084 us    |        _raw_spin_lock();
  10)               |        do_wp_page() {
  10)   0.044 us    |          vm_normal_page();
  10)   0.049 us    |          reuse_swap_page();
  10)   0.039 us    |          page_move_anon_rmap();
  10)               |          unlock_page() {
  10)   0.049 us    |            __wake_up_bit();
  10)   0.385 us    |          }
  10)   0.031 us    |          page_cpupid_xchg_last();
  10)   0.034 us    |          ptep_set_access_flags();
  10)   0.032 us    |          _raw_spin_unlock();
  10)   2.465 us    |        }
  10)   3.127 us    |      }
  10)   4.172 us    |    }
  10)   0.047 us    |    up_read();
  10)   6.263 us    |  }
  10)               |  SyS_brk() {
  10)               |    down_write() {
  10)   0.035 us    |      _cond_resched();
  10)   0.306 us    |    }
  10)               |    find_vma() {
  10)   0.108 us    |      vmacache_find();
  10)   0.075 us    |      vmacache_update();
  10)   0.901 us    |    }
  10)               |    do_brk() {
  10)               |      get_unmapped_area() {
  10)   0.060 us    |        arch_get_unmapped_area_topdown();
  10)               |        security_mmap_addr() {
  10)   0.064 us    |          cap_mmap_addr();
  10)   0.379 us    |        }
  10)   1.031 us    |      }
  10)               |      security_vm_enough_memory_mm() {
  10)               |        cap_vm_enough_memory() {
  10)   0.056 us    |          cap_capable();
  10)   0.076 us    |          __vm_enough_memory();
  10)   0.682 us    |        }
  10)   1.070 us    |      }
  10)               |      vma_merge() {
  10)               |        vma_adjust() {
  10)   0.042 us    |          __vma_adjust_trans_huge();
  10)               |          down_write() {
  10)   0.029 us    |            _cond_resched();
  10)   0.281 us    |          }
  10)   0.062 us    |          anon_vma_interval_tree_remove();
  10)   0.054 us    |          vma_compute_subtree_gap();
  10)   0.052 us    |          vma_compute_subtree_gap();
  10)   0.062 us    |          vma_compute_subtree_gap();
  10)   0.051 us    |          vma_compute_subtree_gap();
  10)   0.061 us    |          vma_compute_subtree_gap();
  10)   0.056 us    |          vma_compute_subtree_gap();
  10)   0.067 us    |          anon_vma_interval_tree_insert();
  10)   0.036 us    |          up_write();
  10)   4.710 us    |        }
  10)   0.048 us    |        khugepaged_enter_vma_merge();
  10)   5.477 us    |      }
  10)   8.504 us    |    }
  10)   0.028 us    |    up_write();
  10) + 10.881 us   |  }
  10)               |  __do_page_fault() {
  10)   0.043 us    |    down_read_trylock();
  10)   0.028 us    |    _cond_resched();
  10)               |    find_vma() {
  10)   0.038 us    |      vmacache_find();
  10)   0.075 us    |      vmacache_update();
  10)   0.729 us    |    }
  10)               |    handle_mm_fault() {
  10)   0.047 us    |      __mem_cgroup_count_vm_event();
  10)               |      handle_pte_fault() {
  10)   0.041 us    |        _raw_spin_lock();
  10)               |        do_wp_page() {
  10)   0.040 us    |          vm_normal_page();
  10)   0.041 us    |          reuse_swap_page();
  10)   0.035 us    |          page_move_anon_rmap();
  10)               |          unlock_page() {
  10)   0.030 us    |            __wake_up_bit();
  10)   0.295 us    |          }
  10)   0.031 us    |          page_cpupid_xchg_last();
  10)   0.033 us    |          ptep_set_access_flags();
  10)   0.031 us    |          _raw_spin_unlock();
  10)   2.180 us    |        }
  10)   2.744 us    |      }
  10)   3.415 us    |    }
